ghostnet_layer,mobilenetv2,mobilenetv3,shufflenetv2,resnet18
,,,,
conv_stem,stem_conv,features,first_conv,conv1
bn1,stem_conv.0,features.init_conv,first_conv.0,bn1
act1,stem_conv.1,features.init_conv.0,first_conv.1,relu
blocks,stem_conv.2,features.init_conv.1,first_conv.2,maxpool
blocks.0,layers,features.init_conv.2,max_pool,layer1
blocks.0.0,layers.0,features.bottleneck_0,features,layer1.0
blocks.0.0.ghost1,layers.0.layers,features.bottleneck_0.conv1,features.0,layer1.0.conv1
blocks.0.0.ghost1.primary_conv,layers.0.layers.0,features.bottleneck_0.conv1.0,features.0.branch_main,layer1.0.bn1
blocks.0.0.ghost1.primary_conv.0,layers.0.layers.0.0,features.bottleneck_0.conv1.1,features.0.branch_main.0,layer1.0.relu
blocks.0.0.ghost1.primary_conv.1,layers.0.layers.0.1,features.bottleneck_0.conv1.2,features.0.branch_main.1,layer1.0.conv2
blocks.0.0.ghost1.primary_conv.2,layers.0.layers.0.2,features.bottleneck_0.conv2,features.0.branch_main.2,layer1.0.bn2
blocks.0.0.ghost1.cheap_operation,layers.0.layers.1,features.bottleneck_0.conv2.0,features.0.branch_main.3,layer1.1
blocks.0.0.ghost1.cheap_operation.0,layers.0.layers.1.0,features.bottleneck_0.conv2.1,features.0.branch_main.4,layer1.1.conv1
blocks.0.0.ghost1.cheap_operation.1,layers.0.layers.1.1,features.bottleneck_0.conv2.2,features.0.branch_main.5,layer1.1.bn1
blocks.0.0.ghost1.cheap_operation.2,layers.1,features.bottleneck_0.se,features.0.branch_main.6,layer1.1.relu
blocks.0.0.ghost2,layers.1.layers,features.bottleneck_0.se.avg_pool,features.0.branch_main.7,layer1.1.conv2
blocks.0.0.ghost2.primary_conv,layers.1.layers.0,features.bottleneck_0.se.fc,features.0.branch_proj,layer1.1.bn2
blocks.0.0.ghost2.primary_conv.0,layers.1.layers.0.0,features.bottleneck_0.se.fc.0,features.0.branch_proj.0,layer2
blocks.0.0.ghost2.primary_conv.1,layers.1.layers.0.1,features.bottleneck_0.se.fc.1,features.0.branch_proj.1,layer2.0
blocks.0.0.ghost2.primary_conv.2,layers.1.layers.1,features.bottleneck_0.se.fc.2,features.0.branch_proj.2,layer2.0.conv1
blocks.0.0.ghost2.cheap_operation,layers.1.layers.1.0,features.bottleneck_0.se.fc.3,features.0.branch_proj.3,layer2.0.bn1
blocks.0.0.ghost2.cheap_operation.0,layers.1.layers.1.1,features.bottleneck_0.conv3,features.0.branch_proj.4,layer2.0.relu
blocks.0.0.ghost2.cheap_operation.1,layers.1.layers.1.2,features.bottleneck_0.conv3.0,features.1,layer2.0.conv2
blocks.0.0.ghost2.cheap_operation.2,layers.1.layers.2,features.bottleneck_0.conv3.1,features.1.branch_main,layer2.0.bn2
blocks.0.0.shortcut,layers.1.layers.2.0,features.bottleneck_1,features.1.branch_main.0,layer2.0.downsample
blocks.1,layers.1.layers.2.1,features.bottleneck_1.conv1,features.1.branch_main.1,layer2.0.downsample.0
blocks.1.0,layers.2,features.bottleneck_1.conv1.0,features.1.branch_main.2,layer2.0.downsample.1
blocks.1.0.ghost1,layers.2.layers,features.bottleneck_1.conv1.1,features.1.branch_main.3,layer2.1
blocks.1.0.ghost1.primary_conv,layers.2.layers.0,features.bottleneck_1.conv1.2,features.1.branch_main.4,layer2.1.conv1
blocks.1.0.ghost1.primary_conv.0,layers.2.layers.0.0,features.bottleneck_1.conv2,features.1.branch_main.5,layer2.1.bn1
blocks.1.0.ghost1.primary_conv.1,layers.2.layers.0.1,features.bottleneck_1.conv2.0,features.1.branch_main.6,layer2.1.relu
blocks.1.0.ghost1.primary_conv.2,layers.2.layers.1,features.bottleneck_1.conv2.1,features.1.branch_main.7,layer2.1.conv2
blocks.1.0.ghost1.cheap_operation,layers.2.layers.1.0,features.bottleneck_1.conv2.2,features.2,layer2.1.bn2
blocks.1.0.ghost1.cheap_operation.0,layers.2.layers.1.1,features.bottleneck_1.se,features.2.branch_main,layer3
blocks.1.0.ghost1.cheap_operation.1,layers.2.layers.1.2,features.bottleneck_1.conv3,features.2.branch_main.0,layer3.0
blocks.1.0.ghost1.cheap_operation.2,layers.2.layers.2,features.bottleneck_1.conv3.0,features.2.branch_main.1,layer3.0.conv1
blocks.1.0.conv_dw,layers.2.layers.2.0,features.bottleneck_1.conv3.1,features.2.branch_main.2,layer3.0.bn1
blocks.1.0.bn_dw,layers.2.layers.2.1,features.bottleneck_2,features.2.branch_main.3,layer3.0.relu
blocks.1.0.ghost2,layers.3,features.bottleneck_2.conv1,features.2.branch_main.4,layer3.0.conv2
blocks.1.0.ghost2.primary_conv,layers.3.layers,features.bottleneck_2.conv1.0,features.2.branch_main.5,layer3.0.bn2
blocks.1.0.ghost2.primary_conv.0,layers.3.layers.0,features.bottleneck_2.conv1.1,features.2.branch_main.6,layer3.0.downsample
blocks.1.0.ghost2.primary_conv.1,layers.3.layers.0.0,features.bottleneck_2.conv1.2,features.2.branch_main.7,layer3.0.downsample.0
blocks.1.0.ghost2.primary_conv.2,layers.3.layers.0.1,features.bottleneck_2.conv2,features.3,layer3.0.downsample.1
blocks.1.0.ghost2.cheap_operation,layers.3.layers.1,features.bottleneck_2.conv2.0,features.3.branch_main,layer3.1
blocks.1.0.ghost2.cheap_operation.0,layers.3.layers.1.0,features.bottleneck_2.conv2.1,features.3.branch_main.0,layer3.1.conv1
blocks.1.0.ghost2.cheap_operation.1,layers.3.layers.1.1,features.bottleneck_2.conv2.2,features.3.branch_main.1,layer3.1.bn1
